AÑO	 CIIU	Descripción	Personas trabajadoras con cobertura (promedio)	Total de casos notificados	Casos con días de baja y secuelas incapacitantes	Personas trabajadoras fallecidas	Índice de incidencia [1]	Índice de incidencia de casos mortales [2]
2020	774	Arrendamiento y gestión de bienes intangibles no financieros	35	0	0	0	0	0
2020	780	Obtención y dotación de personal	52.305	513	494	0	9,4	0
2020	791	Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico	17.553	204	195	2	11,1	113,9
2020	801	Servicios de seguridad e investigación	146.012	8.725	8.439	20	57,8	137
2020	811	Servicio combinado de apoyo a edificios	22.113	1.656	1.546	3	69,9	135,7
2020	812	Servicios de limpieza de edificios	80.729	7.229	6.792	4	84,1	49,5
2020	813	Servicios de jardinería y mantenimiento de espacios verdes	3.600	266	256	0	71,1	0
2020	821	Servicios de apoyo a la administración de oficinas y empresas	2.282	63	59	0	25,8	0
2020	822	Servicios de “call center”	34.909	859	793	0	22,7	0
2020	823	Servicios de organización de convenciones y exposiciones comerciales, excepto culturales y deportivos	111	2	2	0	18,1	0
2020	829	Servicios empresariales n.c.p.	34.262	1.525	1.480	1	43,2	29,2
2020	841	Servicios de la Administración Pública	2.095.291	47.965	42.935	54	20,5	25,8
2020	842	Prestación pública de servicios a la comunidad en general	342.712	12.293	11.167	33	32,6	96,3
2020	843	Servicios de la seguridad social obligatoria, excepto obras sociales	12.991	158	128	0	9,9	0
2020	851	Enseñanza inicial y primaria	417.127	1.980	1.789	1	4,3	2,4
2020	852	Enseñanza secundaria	49.857	186	174	0	3,5	0
2020	853	Enseñanza superior y formación de posgrado	209.079	769	619	2	3	9,6
2020	854	Servicios de enseñanza n.c.p.	27.521	190	177	1	6,4	36,3
2020	855	Servicios de apoyo a la educación	179	7	7	0	39,2	0
2020	861	Servicios de hospitales	89.542	7.372	5.309	2	59,3	22,3
2020	862	Servicios de atención ambulatoria realizados por médicos y odontólogos	26.801	842	656	2	24,5	74,6
2020	863	"Servicios de prácticas de diagnóstico y tratamiento; servicios integrados de consulta, diagnóstico y tratamiento"	42.911	1.366	928	0	21,6	0
2020	864	Servicios de emergencias y traslados	10.749	537	471	0	43,8	0
2020	869	Servicios relacionados con la salud humana n.c.p.	118.015	8.061	5.525	5	46,8	42,4
2020	870	Servicios sociales con alojamiento	24.512	2.196	2.089	0	85,2	0
