AÑO; CIIU;Descripción;Personas trabajadoras con cobertura (promedio);Total de casos notificados;Casos con días de baja y secuelas incapacitantes;Personas trabajadoras fallecidas;Índice de incidencia [1];Índice de incidencia de casos mortales [2];
2022;439;Alquiler de equipo de construcción o demolición dotado de operarios y actividades especializadas de construcción n.c.p.;17164.75;1939;1847;1;107.604;58.259;
2022;451;Venta de vehículos automotores. excepto motocicletas;49093.5;2253;2126;1;43.305;20.369;
2022;452;Mantenimiento y reparación de vehículos automotores. excepto motocicletas;2.135.758.333;1653;1550;1;72.574;46.822;
2022;453;Venta de partes. piezas y accesorios de vehículos automotores;3.926.933.333;2072;1932;2;49.199;50.930;
2022;454;Venta. mantenimiento y reparación de motocicletas y de sus partes. piezas y accesorios;4.633.333.333;239;227;1;48.993;215.827;
2022;461;Venta al por mayor en comisión o consignación;76511.75;4119;3864;11;50.502;143.769;
2022;462;Venta al por mayor de materias primas agropecuarias y de animales vivos;1.189.233.333;686;632;2;53.143;168.176;
2022;463;Venta al por mayor de alimentos. bebidas y tabaco;1.125.080.833;8214;7895;14;70.173;124.436;
2022;464;Venta al por mayor de artículos de uso doméstico y/o personal;9.511.158.333;3626;3469;2;36.473;21.028;
2022;465;Venta al por mayor de máquinas. equipo y materiales conexos;42089.75;1566;1461;0;34.712;0.000;
2022;466;Venta al por mayor especializada;6.018.333.333;4057;3807;4;63.257;66.464;
2022;469;Venta al por mayor de mercancías n.c.p.;16247.25;767;742;2;45.669;123.098;
2022;471;Venta al por menor en comercios no especializados;169718;12503;12005;11;70.735;64.813;
2022;472;Venta al por menor de productos alimenticios. bebidas y tabaco en comercios especializados;8.036.458.333;4646;4492;8;55.895;99.546;
2022;473;Venta al por menor de combustible para vehículos automotores y motocicletas;67459.5;3003;2910;6;43.137;88.942;
2022;474;Venta al por menor de equipos. periféricos. accesorios y programas informáticos; equipos de telecomunicaciones en comercios especializados;1.474.191.667;432;417;0;28.287;0.000
2022;475;Venta al por menor de equipos de uso doméstico n.c.p. en comercios especializados;1.064.033.333;5858;5632;4;52.931;37.593;
2022;476;Venta al por menor de bienes culturales y recreativos en comercios especializados;25390;825;796;3;31.351;118.157;
2022;477;Venta al por menor de productos n.c.p.. en comercios especializados;1.773.526.667;5760;5496;4;30.989;22.554;
2022;478;Venta al por menor en puestos móviles y mercados;1.907.833.333;118;117;0;61.326;0.000;
2022;479;Venta al por menor no realizada en comercios. puestos o mercados;5081.25;242;240;0;47.232;0.000;
2022;491;Servicio de transporte ferroviario;1.235.083.333;1463;1285;0;104.042;0.000;
2022;492;Servicio de transporte automotor;278199.5;23693;22413;69;80.564;248.023;
2022;493;Servicio de transporte por tuberías;2.258.583.333;47;24;1;10.626;442.755;
2022;501;Servicio de transporte marítimo;3442.25;204;191;0;55.487;0.000;
2022;502;Servicio de transporte fluvial y lacustre;2722;181;167;0;61.352;0.000;
2022;511;Servicio de transporte aéreo de pasajeros;14543.25;602;524;1;36.030;68.760;
2022;512;Servicio de transporte aéreo de cargas;384;8;6;2;15.625;5.208.333;
2022;521;Servicios de manipulación de cargas;1.572.833.333;1377;1324;2;84.179;127.159;
2022;522;Servicios de almacenamiento y depósito;2.527.483.333;1512;1429;1;56.538;39.565;
2022;523;Servicios de gestión y logística para el transporte de mercaderías;38126.5;2785;2672;1;70.082;26.228;
2022;524;Servicios complementarios para el transporte;6.272.566.667;7144;6892;4;109.875;63.770;
2022;530;Servicios de correos y mensajerías;3.557.166.667;3635;3559;1;100.052;28.112;
2022;551;Servicios de alojamiento. excepto en “camping”;5.901.966.667;3929;3739;2;63.352;33.887;
2022;552;Servicios de alojamiento en “camping”;3.929.166.667;14;11;1;27.996;2.545.069;
2022;561;Servicios de expendio de comidas y bebidas;1.742.391.667;12785;12385;6;71.080;34.435;
2022;562;Servicios de preparación de comidas para empresas y servicios de comidas n.c.p.;2.327.483.333;1990;1907;1;81.934;42.965;
2022;581;Edición;2.693.433.333;216;203;0;7.537;0.000;
2022;591;Servicios de cinematografía;1.425.108.333;366;357;0;25.051;0.000;
2022;592;Servicios de grabación de sonido y edición de música;1.380.833.333;1;1;0;7.242;0.000;
2022;601;Emisión y retransmisión de radio;1.536.708.333;534;509;0;33.123;0.000;
2022;602;Servicios de televisión;1.629.641.667;532;515;1;31.602;61.363;
2022;611;Servicios de telefonía fija;49401.75;2137;2078;2;42.063;40.484;
2022;612;Servicios de telefonía móvil;4.314.166.667;17;17;0;39.405;0.000;
2022;613;Servicios de telecomunicaciones vía satélite. excepto transmisión de televisión;4.656.833.333;134;128;0;27.486;0.000;
2022;614;Servicios de telecomunicación vía “Internet”;3.240.416.667;188;179;2;55.240;617.205;
2022;619;Servicios de telecomunicaciones n.c.p.;2.815.083.333;102;98;0;34.812;0.000;
2022;620;Servicios de programación y consultoría informática y actividades conexas;112291.5;1000;945;0;8.416;0.000;
2022;631;Procesamiento de datos. hospedaje y actividades conexas. portales “web”;6016.25;72;68;0;11.303;0.000;
2022;639;Servicios de agencias de noticias y servicios de información n.c.p.;3.675.833.333;155;147;0;39.991;0.000;
2022;641;Intermediación monetaria;1.026.255.833;914;861;2;8.390;19.488;
2022;642;Servicios de sociedades de cartera;3935.5;61;56;0;14.229;0.000;
2022;643;Fondos y sociedades de inversión y entidades financieras similares;1.441.833.333;15;14;0;9.710;0.000;
2022;649;Servicios financieros excepto los de la banca central y las entidades financieras;2.417.483.333;423;403;0;16.670;0.000;
2022;651;Servicios de seguros;7.148.416.667;1299;1107;2;15.486;27.978;
2022;652;Reaseguros;256;9;9;0;35.156;0.000;
2022;653;Administración de fondos de pensiones. excepto la seguridad social obligatoria;4.958.333.333;0;0;0;0.000;0.000;
2022;661;Servicios auxiliares a la actividad financiera. excepto a los servicios de seguros;11815;126;121;0;10.241;0.000;
2022;662;Servicios auxiliares a los servicios de seguros;1.268.091.667;202;194;0;15.299;0.000;
2022;663;Servicios de gestión de fondos a cambio de una retribución o por contrata;8.261.666.667;12;12;0;14.525;0.000;
2022;681;Servicios inmobiliarios realizados por cuenta propia. con bienes propios o arrendados;54784.75;2533;2409;5;43.972;91.266;
2022;682;Servicios inmobiliarios realizados a cambio de una retribución o por contrata;2.176.141.667;1113;1035;1;47.561;45.953;
2022;691;Servicios jurídicos;22630.25;264;251;0;11.091;0.000;
2022;692;Servicios de contabilidad. auditoría y asesoría fiscal;3.687.416.667;485;466;0;12.638;0.000;
2022;702;Servicios de asesoramiento. dirección y gestión empresarial;87310.75;4246;3513;4;40.236;45.813;
2022;711;Servicios de arquitectura e ingeniería y servicios técnicos n.c.p.;55647.25;3249;3043;5;54.684;89.852;
2022;712;Ensayos y análisis técnicos;6.653.166.667;324;308;0;46.294;0.000;
2022;721;Investigación y desarrollo experimental en el campo de la ingeniería y de las ciencias exactas y naturales;41599.75;766;674;0;16.202;0.000;
2022;722;Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades;3.235.833.333;5;5;0;15.452;0.000;
2022;731;Servicios de publicidad;2.111.558.333;481;452;0;21.406;0.000;
2022;732;Estudio de mercado. realización de encuestas de opinión pública;2.507.166.667;65;57;0;22.735;0.000;
2022;741;Servicios de diseño especializado;3.834.083.333;153;134;1;34.950;260.819;
2022;742;Servicios de fotografía;411.25;6;6;0;14.590;0.000;
2022;749;Actividades profesionales. científicas y técnicas n.c.p.;1.945.241.667;661;610;1;31.359;51.407;
2022;750;Servicios veterinarios;3221.75;99;95;0;29.487;0.000;
2022;771;Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios;2625;137;131;1;49.905;380.952;
2022;772;Alquiler de efectos personales y enseres domésticos;8.564.166.667;86;82;0;95.748;0.000;
2022;773;Alquiler de maquinaria y equipo n.c.p.. sin personal;9.619.416.667;717;676;2;70.275;207.913;
2022;774;Arrendamiento y gestión de bienes intangibles no financieros;6.833.333.333;4;4;0;58.537;0.000;
2022;780;Obtención y dotación de personal;7.467.558.333;1223;1174;1;15.721;13.391;
2022;791;Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico;1.798.133.333;468;436;1;24.247;55.613;
2022;801;Servicios de seguridad e investigación;1.513.994.167;11254;10834;19;71.559;125.496;
2022;811;Servicio combinado de apoyo a edificios;2.160.466.667;2116;1974;3;91.369;138.859;
2022;812;Servicios de limpieza de edificios;9.673.491.667;11041;10330;3;106.787;31.013;
2022;813;Servicios de jardinería y mantenimiento de espacios verdes;4.515.333.333;513;492;0;108.962;0.000;
2022;821;Servicios de apoyo a la administración de oficinas y empresas;2.617.333.333;103;96;0;36.679;0.000;
2022;822;Servicios de “call center”;3.690.858.333;1552;1394;2;37.769;54.188;
2022;823;Servicios de organización de convenciones y exposiciones comerciales. excepto culturales y deportivos;263.5;7;7;0;26.565;0.000;
2022;829;Servicios empresariales n.c.p.;5.131.358.333;2705;2514;3;48.993;58.464;
2022;841;Servicios de la Administración Pública;2279880.75;109723;102144;50;44.802;21.931;
2022;842;Prestación pública de servicios a la comunidad en general;2.833.674.167;8115;7518;13;26.531;45.877;
2022;843;Servicios de la seguridad social obligatoria. excepto obras sociales;16254;310;282;0;17.350;0.000;
2022;851;Enseñanza inicial y primaria;4.041.130.833;9603;8784;4;21.736;9.898;
2022;852;Enseñanza secundaria;56670;962;908;0;16.023;0.000;
2022;853;Enseñanza superior y formación de posgrado;232481.75;2363;2115;0;9.097;0.000;
2022;854;Servicios de enseñanza n.c.p.;3.263.491.667;639;601;1;18.416;30.642;
2022;855;Servicios de apoyo a la educación;283.75;5;5;0;17.621;0.000;
2022;861;Servicios de hospitales;9.730.433.333;9204;6937;1;71.292;10.277;
2022;862;Servicios de atención ambulatoria realizados por médicos y odontólogos;2.545.591.667;912;728;0;28.598;0.000;
